ID;Perioden;GemiddeldeHypotheekrente_1;HoogsteHypotheekrente_2;LaagsteHypotheekrente_3
0;1993;7.5;;
1;1994 januari;6.93;;
2;1994 februari;6.84;;
3;1994 maart;6.88;;
4;1994 april;6.93;;
5;1994 mei;7.01;;
6;1994 juni;7.15;;
7;1994 juli;7.3;;
8;1994 augustus;7.46;;
9;1994 september;7.49;;
10;1994 oktober;7.68;;
11;1994 november;7.77;;
12;1994 december;7.8;;
13;1994;7.26;;
14;1995 januari;7.75;;
15;1995 februari;7.76;;
16;1995 maart;7.79;;
17;1995 april;7.62;;
18;1995 mei;7.39;;
19;1995 juni;7.22;;
20;1995 juli;7.16;;
21;1995 augustus;7.14;;
22;1995 september;6.9;;
23;1995 oktober;6.76;;
24;1995 november;6.68;;
25;1995 december;6.46;;
26;1995;7.12;;
27;1996 januari;6.25;6.3;5.8
28;1996 februari;6.2;6.7;6.2
29;1996 maart;6.45;6.7;6.4
30;1996 april;6.57;6.7;6.2
31;1996 mei;6.54;6.7;6.1
32;1996 juni;6.53;6.7;6.1
33;1996 juli;6.43;6.7;6.1
34;1996 augustus;6.41;6.7;6.1
35;1996 september;6.24;6.4;5.9
36;1996 oktober;6.02;6.1;5.7
37;1996 november;5.87;6.1;5.7
38;1996 december;5.77;6.1;5.7
39;1996;6.25;6.7;5.7
40;1997 januari;5.76;6.1;5.5
41;1997 februari;5.61;5.9;5.3
42;1997 maart;5.51;6.3;5.5
43;1997 april;5.68;6.3;5.9
44;1997 mei;5.96;6.3;5.9
45;1997 juni;5.98;6.3;5.6
46;1997 juli;5.95;6.3;5.4
47;1997 augustus;5.84;6.3;5.4
48;1997 september;5.75;6.3;5.4
49;1997 oktober;5.81;6.3;5.7
50;1997 november;5.86;6.3;5.7
51;1997 december;5.9;6.3;5.7
52;1997;5.82;6.3;5.3
53;1998 januari;5.93;6.1;5.5
54;1998 februari;5.84;5.9;5.5
55;1998 maart;5.68;5.9;5.1
56;1998 april;5.64;5.9;5.1
57;1998 mei;5.64;5.9;5.1
58;1998 juni;5.63;5.9;5.0
59;1998 juli;5.59;5.7;4.9
60;1998 augustus;5.52;5.7;4.9
61;1998 september;5.45;5.4;4.7
62;1998 oktober;5.33;5.4;4.7
63;1998 november;5.28;5.4;4.7
64;1998 december;5.24;5.4;4.7
65;1998;5.56;5.9;4.7
66;1999 januari;5.15;5.0;4.4
67;1999 februari;5.01;5.0;4.3
68;1999 maart;4.99;5.0;4.3
69;1999 april;5.01;4.9;4.3
70;1999 mei;4.97;4.9;4.2
71;1999 juni;4.95;5.1;4.5
72;1999 juli;5.01;5.5;4.8
73;1999 augustus;5.11;5.9;5.0
74;1999 september;5.23;5.9;5.2
75;1999 oktober;5.36;6.2;5.6
76;1999 november;5.44;6.2;5.6
77;1999 december;5.5;6.2;5.6
78;1999;5.14;6.2;4.2
79;2000 januari;5.56;6.4;5.8
80;2000 februari;5.6;6.5;5.9
81;2000 maart;5.66;6.4;5.9
82;2000 april;5.66;6.4;5.9
83;2000 mei;5.67;6.75;6.1
84;2000 juni;5.75;6.75;6.1
85;2000 juli;5.89;6.75;5.9
86;2000 augustus;6.01;6.75;5.9
87;2000 september;6.11;6.95;6.1
88;2000 oktober;6.18;6.95;6.1
89;2000 november;6.22;6.95;6.1
90;2000 december;6.22;6.95;6.0
91;2000;5.88;6.95;5.8
92;2001 januari;6.15;6.5;5.7
93;2001 februari;6.01;6.5;5.7
94;2001 maart;5.94;6.2;5.7
95;2001 april;5.89;6.2;5.7
96;2001 mei;5.86;6.3;5.7
97;2001 juni;5.85;6.2;5.7
98;2001 juli;5.88;6.2;5.7
99;2001 augustus;5.84;6.2;5.4
100;2001 september;5.74;6.2;5.4
101;2001 oktober;5.64;5.9;5.2
102;2001 november;5.44;5.5;4.9
103;2001 december;5.28;5.9;5.1
104;2001;5.88;5.9;5.1
105;2002 januari;5.29;6.0;5.3
106;2002 februari;5.33;6.1;5.4
107;2002 maart;5.38;6.3;5.5
108;2002 april;5.46;6.3;5.6
109;2002 mei;5.54;6.3;5.6
110;2002 juni;5.58;6.3;5.6
111;2002 juli;5.55;6.3;5.5
112;2002 augustus;5.43;6.1;5.3
113;2002 september;5.3;5.8;4.9
114;2002 oktober;5.11;5.8;4.9
115;2002 november;5.04;5.8;4.9
116;2002 december;4.99;5.8;4.8
117;2002;5.33;5.8;4.8
118;2003 januari;4.87;5.8;4.6
119;2003 februari;4.69;5.8;4.4
120;2003 maart;4.52;5.8;4.4
121;2003 april;4.48;5.8;4.4
122;2003 mei;4.51;4.6;4.1
123;2003 juni;4.39;4.4;3.9
124;2003 juli;4.26;5.15;4.1
125;2003 augustus;4.28;5.15;4.1
126;2003 september;4.35;5.15;4.1
127;2003 oktober;4.42;5.15;4.4
128;2003 november;4.48;5.15;4.5
129;2003 december;4.52;5.15;4.5
130;2003;4.48;5.15;4.5
