ID;StatusUitkering;Geslacht;Jaren;TotaalPersonenMetVUTOfPrepensioen_1;k_60JaarEnJonger_2;k_6164Jaar_3;ParticuliereBedrijven_4;Overheid_5;GesubsidieerdeSector_6;TotaalMetVUTUitkering_7;k_60JaarEnJonger_8;k_6164Jaar_9;TotaalMetVervroegdPensioen_10;k_60JaarEnJonger_11;k_6164Jaar_12
0;Aantal uitkeringen einde van het jaar;Geslacht totaal;1996;171110;47180;123930;95210;49660;26240;148310;36580;111730;22800;10600;12200
1;Aantal uitkeringen einde van het jaar;Geslacht totaal;1997;169810;47190;122620;93850;49970;26000;141300;34510;106790;28510;12680;15830
2;Aantal uitkeringen einde van het jaar;Geslacht totaal;1998;171290;48410;122880;91720;52300;27270;130870;30500;100370;40420;17910;22510
3;Aantal uitkeringen einde van het jaar;Geslacht totaal;1999;175070;46920;128170;89020;56870;29180;123420;26730;96690;51650;20190;31480
4;Aantal uitkeringen einde van het jaar;Geslacht totaal;2000;178900;47990;130910;85690;62170;31040;113080;24270;88810;65820;23720;42100
5;Aantal uitkeringen einde van het jaar;Mannen;1996;143710;41860;101850;89450;42160;12100;121390;31550;89840;22320;10310;12010
6;Aantal uitkeringen einde van het jaar;Mannen;1997;140470;40570;99900;87560;42160;10750;114150;29100;85050;26320;11470;14850
7;Aantal uitkeringen einde van het jaar;Mannen;1998;139150;40230;98920;84840;43800;10510;103710;24570;79130;35440;15660;19790
8;Aantal uitkeringen einde van het jaar;Mannen;1999;140330;37580;102750;81810;47340;11180;96210;20370;75840;44120;17210;26910
9;Aantal uitkeringen einde van het jaar;Mannen;2000;140630;37830;102800;78030;50850;11740;85450;17630;67810;55180;20200;34990
10;Aantal uitkeringen einde van het jaar;Vrouwen;1996;27400;5320;22080;5760;7510;14140;26920;5020;21890;480;300;190
11;Aantal uitkeringen einde van het jaar;Vrouwen;1997;29340;6620;22720;6290;7800;15240;27150;5420;21740;2190;1200;980
12;Aantal uitkeringen einde van het jaar;Vrouwen;1998;32140;8180;23960;6880;8500;16760;27160;5930;21240;4980;2250;2720
13;Aantal uitkeringen einde van het jaar;Vrouwen;1999;34740;9350;25420;7210;9540;18000;27210;6370;20850;7530;2980;4570
14;Aantal uitkeringen einde van het jaar;Vrouwen;2000;38280;10160;28110;7650;11320;19300;27630;6640;20990;10650;3520;7120
15;Toekenning;Geslacht totaal;1996;30130;19760;10370;15650;8360;6120;26790;16820;9970;3340;2940;400
16;Toekenning;Geslacht totaal;1997;32410;21140;11270;15430;10970;6010;23650;16560;7090;8760;4580;4180
17;Toekenning;Geslacht totaal;1998;36530;22900;13630;15630;13620;7280;20190;14730;5460;16340;8170;8170
18;Toekenning;Geslacht totaal;1999;38340;20910;17430;15820;14500;8020;22590;13860;8720;15750;7050;8710
19;Toekenning;Geslacht totaal;2000;41950;23200;18750;16610;16360;8980;22870;13640;9230;19080;9560;9520
20;Toekenning;Mannen;1996;23530;15640;7890;14310;6880;2330;20290;12780;7510;3240;2860;380
21;Toekenning;Mannen;1997;24300;15690;8610;13780;8690;1820;17330;12090;5240;6970;3600;3370
22;Toekenning;Mannen;1998;27480;16810;10670;13900;10760;2820;14170;10040;4130;13310;6770;6540
23;Toekenning;Mannen;1999;29000;14800;14200;13990;11490;3520;16060;8950;7110;12940;5850;7090
24;Toekenning;Mannen;2000;30880;16340;14540;14350;12770;3750;15330;8270;7060;15550;8070;7480
25;Toekenning;Vrouwen;1996;6600;4120;2480;1330;1480;3790;6500;4040;2460;100;80;20
26;Toekenning;Vrouwen;1997;8110;5450;2660;1650;2270;4190;6330;4480;1850;1780;970;810
27;Toekenning;Vrouwen;1998;9060;6100;2960;1740;2860;4460;6030;4690;1340;3030;1410;1620
28;Toekenning;Vrouwen;1999;9340;6110;3230;1830;3010;4490;6520;4910;1620;2820;1200;1610
29;Toekenning;Vrouwen;2000;11070;6860;4210;2260;3590;5230;7540;5370;2170;3530;1490;2040
30;Beëindiging;Geslacht totaal;1996;33950;1120;32830;16740;11080;6140;30280;390;29900;3670;730;2930
31;Beëindiging;Geslacht totaal;1997;33710;500;33220;16800;10660;6260;30660;420;30240;3050;80;2980
32;Beëindiging;Geslacht totaal;1998;35050;740;34320;17760;11290;6000;30630;230;30400;4420;510;3920
33;Beëindiging;Geslacht totaal;1999;34560;540;34020;18520;9920;6110;30040;420;29610;4520;120;4410
34;Beëindiging;Geslacht totaal;2000;38110;310;37810;19940;11060;7120;33200;180;33030;4910;130;4780
35;Beëindiging;Mannen;1996;27770;1020;26750;15710;9070;2990;24220;340;23890;3550;680;2860
36;Beëindiging;Mannen;1997;27540;420;27110;15680;8690;3170;24570;360;24220;2970;60;2890
37;Beëindiging;Mannen;1998;28800;670;28130;16610;9130;3060;24610;190;24420;4190;480;3710
38;Beëindiging;Mannen;1999;27820;480;27340;17020;7950;2850;23560;370;23190;4260;110;4150
39;Beëindiging;Mannen;2000;30580;230;30340;18120;9260;3200;26090;120;25970;4490;110;4370
40;Beëindiging;Vrouwen;1996;6180;100;6090;1030;2010;3140;6060;50;6010;120;50;80
41;Beëindiging;Vrouwen;1997;6180;80;6100;1110;1980;3090;6090;60;6030;90;20;70
42;Beëindiging;Vrouwen;1998;6250;60;6190;1150;2160;2940;6020;30;5990;230;30;200
43;Beëindiging;Vrouwen;1999;6730;50;6680;1500;1970;3260;6470;50;6430;260;0;250
44;Beëindiging;Vrouwen;2000;7540;70;7470;1810;1810;3920;7110;60;7050;430;10;420
