ID;Perioden;TotaalAppels_1;GoldenDelicious_2;CoxSOrangePippin_3;RodeVanBoskoop_4;JamesGrieve_5;Jonagold_6;Elstar_7;Gloster_8;OverigeAppels_9;TotaalPeren_10;Conference_11;DoyenneDuComice_12;Stoofperen_13;OverigePeren_14
0;1983;403;134;58;67;35.0;;;;109;135;53;25;19;38
1;1984;431;123;54;96;32.0;36.0;;;90;128;57;18;19;34
2;1985;300;92;35;38;19.0;22.0;11.0;;83;107;39;22;9;37
3;1986;445;118;66;70;30.0;39.0;17.0;;105;103;44;16;13;30
4;1987;340;81;43;38;19.0;42.0;37.0;;80;140;56;32;15;37
5;1988;383;84;48;54;21.0;46.0;36.0;15.0;79;89;42;13;16;18
6;1989;417;85;65;46;21.0;64.0;51.0;17.0;68;133;45;24;24;40
7;1990;431;95;54;23;19.0;75.0;87.0;21.0;57;90;45;17;12;16
8;1991;223;34;19;10;12.0;55.0;55.0;8.0;30;96;51;20;10;15
9;1992;575;55;70;60;17.0;150.0;153.0;20.0;50;100;55;13;16;16
10;1993;571;60;60;46;16.0;155.0;160.0;19.0;55;151;77;35;16;23
11;1994;506;46;45;40;13.0;150.0;159.0;12.0;41;124;71;23;14;16
12;1995;534;50;41;42;11.0;168.0;175.0;8.0;39;180;102;39;18;21
13;1996;431;39;42;27;8.0;134.0;140.0;7.0;34;131;82;19;11;19
14;1997;420;40;43;30;;138.0;129.0;;40;141;86;29;11;15
15;1998;518;37;40;36;;174.0;190.0;;41;141;88;24;11;18
16;1999;568;39;39;52;;198.0;193.0;;47;141;95;24;8;14
17;2000;461;30;27;32;;162.0;167.0;;43;203;135;35;14;19
18;2001;408;29;30;30;;137.0;151.0;;31;76;54;9;4;9
19;2002;354;28;17;20;;136.0;130.0;;23;171;107;30;14;20
20;2003;359;27;17;25;;133.0;133.0;;24;159;125;16;9;9
21;2004;436;31;14;26;;167.0;175.0;;23;210;144;34;15;17
22;2005;359;29;12;19;;132.0;142.0;;25;195;145;25;8;17
23;2006;365;24;11;23;;129.0;149.0;;29;222;172;26;8;16
